Rank,Equipo,Nombre,Goles,Dribbles Exitosos,Tackles,Asistencias,Precisión Pases %,Rating
397,Defensores de Belgrano,Enzo González,0,0,,0,61.54,
398,Racing de Córdoba,Valentin Perales,0,0,,0,58.82,
399,Defensores Unidos,Nahuel Oscar Basualdo,0,1,,0,67.95,
400,San Telmo,Gabriel Pusula,0,0,,0,81.4,
401,Central Norte de Salta,Carlos Battigelli,0,0,,0,63.33,
402,Defensores Unidos,Tomás Marcelo Ferreyra,0,1,,0,55,
403,Atlanta,José Amado Gómez,0,0,,0,0,
404,Club Ferro Carril Oeste,Gonzalo Castellani,0,1,,0,77.88,
405,Patronato,Federico Castro,0,3,,0,68,
406,Alvarado,Matías Bergara,0,8,,0,55.17,
407,Temperley,Franco Ayunta,0,2,,0,73.33,
408,Alvarado,Tomas Bolzicco,0,3,,0,62.07,
409,Talleres Remedios de Escalada,Norberto Palmieri,0,2,,0,65.15,
410,Central Norte de Salta,German Lessman,0,1,,0,59.26,
411,Almagro,Julian Vitale,0,0,,0,80.85,
412,Tristán Suárez,Tomás Pérez Serra,0,1,,0,88.24,
